element,category_id,frequency_in_category
albeit,Palma,1
alcohol,Palma,8
alcoholic,Palma,2
alcove,Palma,1
alcudia,Palma,4
ale,Palma,3
alemania,Palma,1
algae,Palma,4
allergy,Palma,1
alley,Palma,2
allows,Palma,3
almonia,Palma,1
almunia,Palma,2
alot,Palma,5
alright,Palma,1
alternative,Palma,1
amateur,Palma,1
amazingacid,Palma,1
ambiance,Palma,1
ambience,Palma,2
ambulance,Palma,1
amenity,Palma,4
ammount,Palma,1
amongst,Palma,3
amount,Palma,13
ample,Palma,1
anchor,Palma,1
andraix,Palma,1
andratsj,Palma,1
andratx,Palma,1
anger,Palma,1
angle,Palma,1
angry,Palma,1
animabeach,Palma,1
annoyed,Palma,1
answer,Palma,2
anti,Palma,1
antic,Palma,2
anticipation,Palma,1
antoni,Palma,1
anybody,Palma,3
anyone,Palma,9
anything,Palma,13
apartment,Palma,7
app,Palma,1
appearance,Palma,1
appreciate,Palma,1
approach,Palma,2
appropriate,Palma,4
approx,Palma,4
april,Palma,9
aprox,Palma,1
apt,Palma,1
aqua,Palma,2
aquarium,Palma,9
archipelago,Palma,1
architecture,Palma,3
arduous,Palma,1
area,Palma,139
arenal,Palma,93
arent,Palma,1
aroma,Palma,1
array,Palma,1
arriero,Palma,1
arrival,Palma,2
arrive,Palma,10
arrogant,Palma,1
arrow,Palma,2
arsenal,Palma,1
art,Palma,1
artist,Palma,4
ascent,Palma,1
asia,Palma,1
ask,Palma,5
asleep,Palma,1
asphalt,Palma,2
assembly,Palma,1
aswell,Palma,1
ate,Palma,4
atop,Palma,1
attack,Palma,1
attention,Palma,1
attitude,Palma,1
attract,Palma,1
attraction,Palma,4
aug,Palma,1
august,Palma,9
augustin,Palma,1
authentic,Palma,2
author,Palma,1
authority,Palma,4
autumn,Palma,2
av,Palma,1
availability,Palma,1
available,Palma,19
avenida,Palma,1
average,Palma,5
avoid,Palma,27
awailable,Palma,1
awesome,Palma,8
awful,Palma,3
aya,Palma,1
azuline,Palma,1
ba,Palma,1
baby,Palma,1
bacardi,Palma,1
bach,Palma,1
bachelor,Palma,1
back,Palma,2
background,Palma,1
backgroundidyllic,Palma,1
backpack,Palma,2
bacteria,Palma,1
bad,Palma,25
bading,Palma,1
bag,Palma,15
bahamas,Palma,1
bahia,Palma,1
baking,Palma,1
balance,Palma,2
balcony,Palma,2
balenario,Palma,1
balenarios,Palma,1
ball,Palma,1
ballermann,Palma,2
ballys,Palma,1
balneario,Palma,6
balnearios,Palma,1
balnearious,Palma,1
balnerarios,Palma,1
banana,Palma,3
band,Palma,1
bang,Palma,1
bar,Palma,174
barb,Palma,1
barcelonano,Palma,1
barefoot,Palma,1
bargain,Palma,1
barrage,Palma,1
barrigon,Palma,1
base,Palma,3
basic,Palma,5
basis,Palma,1
bath,Palma,3
bathe,Palma,1
bathing,Palma,7
bathroom,Palma,2
baus,Palma,2
bay,Palma,36
baywalk,Palma,1
bbc,Palma,2
beach,Palma,1066
beachbars,Palma,1
beachclubs,Palma,1
beachside,Palma,1
beachvolleyball,Palma,1
beachwalk,Palma,1
bean,Palma,1
bearable,Palma,1
bearing,Palma,2
beat,Palma,1
beatiful,Palma,3
beautiful,Palma,150
beautifyl,Palma,1
beautuful,Palma,1
beauty,Palma,5
beautyful,Palma,1
bech,Palma,1
become,Palma,2
becomes,Palma,6
becuase,Palma,2
bed,Palma,35
beeach,Palma,1
beer,Palma,25
beggar,Palma,1
begin,Palma,4
behave,Palma,1
behavior,Palma,1
behaviour,Palma,2
beirkonig,Palma,1
belgium,Palma,1
belong,Palma,1
belonging,Palma,3
belongs,Palma,1
belt,Palma,1
bend,Palma,7
bendy,Palma,1
benefit,Palma,2
beside,Palma,3
best,Palma,53
bestand,Palma,1
bet,Palma,1
bettermann,Palma,1
beware,Palma,6
bicycle,Palma,3
bier,Palma,2
bierkellers,Palma,1
bierknig,Palma,1
bierkonig,Palma,1
bierkoning,Palma,1
bierstrasse,Palma,1
big,Palma,33
bike,Palma,18
bikers,Palma,1
bikeway,Palma,1
biking,Palma,1
bill,Palma,1
bin,Palma,2
bistro,Palma,1
bit,Palma,65
bk,Palma,1
black,Palma,3
blackpool,Palma,2
bland,Palma,1
blank,Palma,1
blanket,Palma,2
blasting,Palma,1
bleach,Palma,1
block,Palma,5
blue,Palma,36
bo,Palma,1
board,Palma,2
boarding,Palma,2
boast,Palma,1
boat,Palma,21
bob,Palma,1
bocadillos,Palma,1
body,Palma,4
boil,Palma,1
bombing,Palma,1
bonus,Palma,1
book,Palma,10
boom,Palma,2
boot,Palma,1
bordering,Palma,1
boring,Palma,3
borrow,Palma,1
bother,Palma,8
bottle,Palma,8
bottom,Palma,15
bought,Palma,1
boulder,Palma,11
boulevard,Palma,2
bound,Palma,1
boundary,Palma,1
bout,Palma,1
box,Palma,6
boy,Palma,2
bracelet,Palma,1
braid,Palma,1
braiders,Palma,1
branch,Palma,1
brash,Palma,2
brave,Palma,2
bread,Palma,1
break,Palma,9
breaker,Palma,2
breakfast,Palma,9
breath,Palma,2
breathtaking,Palma,3
breeze,Palma,1
bridge,Palma,1
bright,Palma,1
brilliant,Palma,5
brim,Palma,1
bring,Palma,20
brings,Palma,1
brisk,Palma,1
brit,Palma,5
britain,Palma,1
broke,Palma,1
broken,Palma,7
bronx,Palma,1
brother,Palma,1
brought,Palma,1
browse,Palma,3
brutal,Palma,1
btw,Palma,1
bucket,Palma,6
bud,Palma,1
budget,Palma,1
buggy,Palma,1
build,Palma,1
builder,Palma,1
building,Palma,12
built,Palma,4
bulgarian,Palma,1
bulky,Palma,1
bum,Palma,3
buoy,Palma,1
burger,Palma,5
bursting,Palma,1
bus,Palma,86
bushwalk,Palma,1
busier,Palma,2
busiest,Palma,1
business,Palma,5
busker,Palma,1
bussride,Palma,1
bustle,Palma,4
busy,Palma,71
buts,Palma,1
butt,Palma,1
buying,Palma,2
buzz,Palma,2
cab,Palma,6
cactus,Palma,1
caf,Palma,3
cafe,Palma,52
cafeteria,Palma,1
cake,Palma,1
cal,Palma,3
cala,Palma,87
calamari,Palma,1
calas,Palma,2
california,Palma,1
call,Palma,8
calla,Palma,1
calm,Palma,22
calmer,Palma,3
calo,Palma,8
calor,Palma,1
cam,Palma,1
camera,Palma,3
camino,Palma,1
camp,Palma,1
cancer,Palma,1
candy,Palma,1
canonge,Palma,1
canopy,Palma,1
cant,Palma,5
cap,Palma,3
capacity,Palma,1
capital,Palma,4
cappuccino,Palma,1
car,Palma,65
carbonara,Palma,1
card,Palma,4
care,Palma,8
careful,Palma,13
careless,Palma,1
caribbean,Palma,3
carpark,Palma,2
carrer,Palma,5
carry,Palma,2
case,Palma,5
cash,Palma,1
castle,Palma,3
casual,Palma,2
catalua,Palma,1
catch,Palma,2
cater,Palma,4
catering,Palma,3
caters,Palma,1
cathedral,Palma,5
caught,Palma,5
cause,Palma,3
causeway,Palma,1
caution,Palma,1
cave,Palma,3
caveat,Palma,1
celeb,Palma,1
celebrity,Palma,3
cell,Palma,1
cellar,Palma,1
cemetery,Palma,2
center,Palma,10
central,Palma,6
centre,Palma,12
certain,Palma,8
cestikami,Palma,1
cez,Palma,3
chair,Palma,18
challenge,Palma,2
champagne,Palma,1
chance,Palma,9
change,Palma,9
chant,Palma,1
chaotic,Palma,1
chapel,Palma,1
character,Palma,3
charge,Palma,2
charm,Palma,1
charmless,Palma,1
cheap,Palma,15
cheaper,Palma,4
cheapest,Palma,2
check,Palma,3
checked,Palma,1
chicken,Palma,1
child,Palma,32
chill,Palma,5
china,Palma,1
chinguitos,Palma,1
chino,Palma,1
chiringuito,Palma,2
choice,Palma,14
choked,Palma,1
choose,Palma,11
choppy,Palma,1
chose,Palma,5
chosen,Palma,1
christmas,Palma,1
cider,Palma,1
cigarette,Palma,7
cigarettfilters,Palma,1
circa,Palma,1
city,Palma,29
clarity,Palma,1
classic,Palma,1
classical,Palma,1
claudius,Palma,1
claustrophobic,Palma,2
clean,Palma,148
cleaner,Palma,3
cleanest,Palma,1
cleaning,Palma,2
cleanliness,Palma,2
clear,Palma,97
clearest,Palma,2
clientele,Palma,2
cliff,Palma,38
clifs,Palma,1
climax,Palma,1
climb,Palma,13
climbed,Palma,2
clip,Palma,1
cloase,Palma,1
clock,Palma,3
closest,Palma,4
closing,Palma,1
cloth,Palma,1
clothed,Palma,1
clothes,Palma,3
clothing,Palma,1
cloudy,Palma,1
club,Palma,21
clunky,Palma,1
clutch,Palma,1
coach,Palma,3
coast,Palma,14
coastal,Palma,7
coastline,Palma,1
cobble,Palma,1
cocktail,Palma,6
coctel,Palma,1
code,Palma,2
coffe,Palma,1
coffee,Palma,6
coffeethe,Palma,1
coin,Palma,1
coke,Palma,2
coladas,Palma,1
cold,Palma,14
colder,Palma,1
collect,Palma,1
color,Palma,5
colour,Palma,8
column,Palma,1
comfort,Palma,2
comfortable,Palma,7
comfy,Palma,2
commodity,Palma,1
common,Palma,3
company,Palma,4
comparable,Palma,1
compare,Palma,3
comparison,Palma,1
compete,Palma,2
complain,Palma,1
complaint,Palma,2
complete,Palma,2
complex,Palma,1
con,Palma,2
concentration,Palma,1
concern,Palma,1
concerned,Palma,1
concrete,Palma,5
condition,Palma,2
condom,Palma,3
confidence,Palma,1
confident,Palma,2
congregate,Palma,1
connection,Palma,1
conner,Palma,1
constant,Palma,6
construction,Palma,1
contact,Palma,1
contend,Palma,1
content,Palma,1
continue,Palma,3
continued,Palma,2
contract,Palma,1
contrary,Palma,1
contribution,Palma,1
control,Palma,2
convenience,Palma,2
convenient,Palma,3
convent,Palma,1
conversation,Palma,1
convertible,Palma,1
cook,Palma,1
cool,Palma,10
cooler,Palma,1
cooperate,Palma,1
corner,Palma,5
correction,Palma,1
corruption,Palma,1
cost,Palma,26
cosy,Palma,1
cottage,Palma,1
couldnt,Palma,1
council,Palma,2
count,Palma,2
counterargument,Palma,1
counterfeit,Palma,1
country,Palma,2
countryside,Palma,2
coupe,Palma,1
couple,Palma,44
courage,Palma,1
course,Palma,12
cove,Palma,61
cover,Palma,1
coverage,Palma,1
cozy,Palma,2
crack,Palma,1
cram,Palma,1
crammed,Palma,2
crap,Palma,1
crash,Palma,1
crawl,Palma,1
crazy,Palma,5
cream,Palma,9
creativity,Palma,1
creature,Palma,1
credit,Palma,3
crew,Palma,1
crime,Palma,1
cristal,Palma,1
cropped,Palma,1
cross,Palma,2
crossroad,Palma,1
crow,Palma,1
crowd,Palma,19
crowdedall,Palma,1
crowdy,Palma,2
cruise,Palma,10
cruiser,Palma,1
cryptic,Palma,1
crystal,Palma,39
cubic,Palma,3
cuisine,Palma,2
culture,Palma,3
cup,Palma,2
curiosity,Palma,1
curious,Palma,1
curvy,Palma,2
customer,Palma,3
cut,Palma,3
cute,Palma,3
cycle,Palma,8
cycleway,Palma,1
cycling,Palma,6
cyclist,Palma,6
cyclops,Palma,1
daia,Palma,1
daily,Palma,5
daly,Palma,1
damn,Palma,1
dancer,Palma,1
dangerous,Palma,10
danke,Palma,1
dare,Palma,1
daredevil,Palma,2
dark,Palma,1
daughter,Palma,3
day,Palma,169
daythe,Palma,1
daytime,Palma,2
de,Palma,95
dea,Palma,1
dead,Palma,3
deal,Palma,1
dear,Palma,1
debris,Palma,2
decent,Palma,13
decide,Palma,3
decline,Palma,1
dediny,Palma,1
deep,Palma,12
deeper,Palma,2
def,Palma,1
defo,Palma,1
degree,Palma,3
dei,Palma,5
deja,Palma,3
del,Palma,1
deli,Palma,1
delicious,Palma,4
delight,Palma,1
delightful,Palma,2
demand,Palma,1
depends,Palma,1
deposit,Palma,1
depth,Palma,3
descend,Palma,2
descent,Palma,6
descern,Palma,1
describe,Palma,2
described,Palma,1
description,Palma,2
deserve,Palma,1
deserves,Palma,1
design,Palma,1
designate,Palma,1
desperate,Palma,1
destination,Palma,3
destroyed,Palma,1
detail,Palma,1
deter,Palma,1
determine,Palma,1
development,Palma,1
deya,Palma,1
di,Palma,3
didnt,Palma,7
die,Palma,2
diea,Palma,1
difference,Palma,4
different,Palma,21
difficult,Palma,20
difficulty,Palma,2
dificult,Palma,1
dignity,Palma,2
dine,Palma,1
diner,Palma,1
dip,Palma,6
direct,Palma,1
direction,Palma,7
dirt,Palma,3
dirty,Palma,24
disabled,Palma,4
disadvantage,Palma,2
disappear,Palma,2
disappointed,Palma,10
disappointment,Palma,1
disaster,Palma,1
disco,Palma,3
discover,Palma,1
dish,Palma,2
dismayed,Palma,1
disneyland,Palma,1
display,Palma,2
dispozcii,Palma,1
disregard,Palma,3
disrepute,Palma,1
dissapointment,Palma,1
distance,Palma,17
distant,Palma,1
disturbed,Palma,1
dito,Palma,1
dive,Palma,1
divine,Palma,1
dj,Palma,1
dock,Palma,2
documens,Palma,1
dodge,Palma,1
dodgy,Palma,1
dog,Palma,7
dolores,Palma,1
domci,Palma,1
dont,Palma,13
dooped,Palma,1
door,Palma,4
dose,Palma,1
dosta,Palma,1
dot,Palma,1
doubt,Palma,2
downhill,Palma,5
downmarket,Palma,1
downside,Palma,5
downstairs,Palma,1
downtown,Palma,3
dozen,Palma,3
drag,Palma,4
drama,Palma,2
dramatic,Palma,2
drank,Palma,1
draught,Palma,1
drave,Palma,1
dreadful,Palma,1
dress,Palma,1
drik,Palma,1
drink,Palma,60
drinker,Palma,3
drinking,Palma,17
drive,Palma,36
driven,Palma,3
driver,Palma,10
drop,Palma,3
drove,Palma,7
drug,Palma,1
drunk,Palma,35
drunken,Palma,3
dry,Palma,1
dubrovnik,Palma,1
dud,Palma,1
due,Palma,12
dull,Palma,1
duly,Palma,1
dumb,Palma,1
dump,Palma,2
dusty,Palma,3
dutch,Palma,14
duty,Palma,6
dvierka,Palma,1
dwell,Palma,1
e,Palma,5
eachother,Palma,1
ear,Palma,1
earn,Palma,1
earth,Palma,1
ease,Palma,1
east,Palma,9
easter,Palma,2
eastern,Palma,3
easy,Palma,47
easypeasy,Palma,1
eat,Palma,30
eatery,Palma,3
eats,Palma,1
ebb,Palma,1
eco,Palma,1
edge,Palma,7
efficient,Palma,1
effort,Palma,9
effusive,Palma,1
egg,Palma,1
el,Palma,49
electric,Palma,5
elegant,Palma,1
element,Palma,2
emerald,Palma,1
emperor,Palma,1
employee,Palma,2
empty,Palma,6
emt,Palma,1
enchilada,Palma,1
encounter,Palma,1
end,Palma,56
endemic,Palma,1
endless,Palma,2
endure,Palma,1
energy,Palma,2
englishman,Palma,2
enhancer,Palma,1
enjoy,Palma,40
enjoyable,Palma,4
enormous,Palma,1
enouph,Palma,1
enter,Palma,6
entertainment,Palma,2
enthusiast,Palma,1
entice,Palma,1
entire,Palma,1
entrance,Palma,5
entry,Palma,2
environment,Palma,3
environmental,Palma,1
epic,Palma,1
epicentre,Palma,1
equipment,Palma,1
equivalent,Palma,2
erm,Palma,1
erotic,Palma,2
eruos,Palma,1
esay,Palma,1
escape,Palma,1
esmeralda,Palma,1
espaa,Palma,1
espanya,Palma,2
esplanade,Palma,2
establishment,Palma,1
etc,Palma,40
eternity,Palma,1
eur,Palma,1
euro,Palma,65
europe,Palma,4
european,Palma,5
evening,Palma,2
event,Palma,2
eventhough,Palma,1
everybody,Palma,2
everyday,Palma,3
everynight,Palma,1
everyone,Palma,14
everything,Palma,14
evita,Palma,1
ew,Palma,1
ex,Palma,1
exaggerate,Palma,1
example,Palma,2
excellent,Palma,21
exception,Palma,2
exceptional,Palma,1
exclusive,Palma,1
excursion,Palma,2
excuse,Palma,1
exercise,Palma,2
exhibitionist,Palma,1
exhorbitant,Palma,1
exist,Palma,2
exit,Palma,2
expanse,Palma,1
expectation,Palma,7
expense,Palma,1
expensive,Palma,27
experience,Palma,20
experienced,Palma,3
exploration,Palma,1
explore,Palma,4
express,Palma,1
exquisite,Palma,1
extensive,Palma,1
exterior,Palma,1
extra,Palma,4
extreme,Palma,1
eye,Palma,7
eyeglass,Palma,1
fab,Palma,4
fabulous,Palma,9
face,Palma,4
facility,Palma,14
fact,Palma,9
faeces,Palma,1
fagonya,Palma,1
faint,Palma,3
fair,Palma,1
fairness,Palma,1
fajitas,Palma,1
fake,Palma,6
fall,Palma,3
family,Palma,43
famous,Palma,6
fan,Palma,1
fancy,Palma,1
fantastic,Palma,15
fantasy,Palma,1
fare,Palma,2
farniente,Palma,1
farther,Palma,1
fashion,Palma,1
fasilities,Palma,1
fast,Palma,2
faucet,Palma,1
fault,Palma,1
fav,Palma,1
favorite,Palma,3
favourite,Palma,6
fear,Palma,1
february,Palma,1
fee,Palma,3
feel,Palma,21
fellow,Palma,3
felt,Palma,13
fence,Palma,1
fi,Palma,1
fifteen,Palma,1
figuera,Palma,3
figueroa,Palma,1
figure,Palma,2
figurine,Palma,1
fill,Palma,2
findd,Palma,1
fine,Palma,13
finish,Palma,1
fiord,Palma,3
firm,Palma,1
fish,Palma,28
fisherman,Palma,1
fishies,Palma,1
fishing,Palma,3
fit,Palma,3
fix,Palma,1
fizzy,Palma,1
flag,Palma,3
flat,Palma,8
flavour,Palma,1
fleet,Palma,1
flight,Palma,5
flip,Palma,2
float,Palma,1
flog,Palma,1
flood,Palma,2
floor,Palma,2
flop,Palma,2
fluffy,Palma,1
folk,Palma,3
food,Palma,70
foot,Palma,13
football,Palma,3
footing,Palma,1
footpath,Palma,2
forbidden,Palma,1
force,Palma,1
ford,Palma,1
forecast,Palma,1
foremost,Palma,1
forget,Palma,10
form,Palma,2
formal,Palma,1
formation,Palma,1
formentera,Palma,1
formentor,Palma,4
fornalutx,Palma,1
fornells,Palma,2
fortnight,Palma,1
found,Palma,35
franco,Palma,1
frantic,Palma,1
free,Palma,24
freezer,Palma,1
frequent,Palma,1
fresh,Palma,15
friday,Palma,1
friend,Palma,13
frikadellen,Palma,1
fro,Palma,1
fron,Palma,1
front,Palma,46
fruit,Palma,6
ft,Palma,1
full,Palma,51
fun,Palma,31
functionality,Palma,1
fungus,Palma,1
funky,Palma,1
funnel,Palma,1
funny,Palma,4
fussy,Palma,1
future,Palma,2
fuzzy,Palma,1
fyi,Palma,1
gain,Palma,1
galore,Palma,1
game,Palma,2
gang,Palma,2
garbage,Palma,2
garden,Palma,6
gate,Palma,6
gather,Palma,1
gaudi,Palma,1
gauge,Palma,1
gawker,Palma,1
gay,Palma,1
gaze,Palma,1
gear,Palma,2
geldof,Palma,1
gem,Palma,8
general,Palma,4
gentle,Palma,1
genuine,Palma,1
germanic,Palma,3
germany,Palma,13
getaway,Palma,1
gift,Palma,1
gill,Palma,1
gin,Palma,2
girl,Palma,6
girlfriend,Palma,4
glad,Palma,7
glance,Palma,2
glass,Palma,7
glimpse,Palma,1
glitch,Palma,1
glorious,Palma,3
goat,Palma,1
god,Palma,4
goer,Palma,1
goggles,Palma,1
golden,Palma,3
golf,Palma,3
gonn,Palma,1
gonna,Palma,1
good,Palma,141
goody,Palma,1
google,Palma,3
googlemaps,Palma,4
gorgeous,Palma,15
gps,Palma,3
grab,Palma,3
grace,Palma,1
grade,Palma,1
gradient,Palma,1
gradual,Palma,1
graf,Palma,4
graffiti,Palma,1
grafves,Palma,1
gran,Palma,1
grandaughter,Palma,1
grandma,Palma,1
grandson,Palma,1
grass,Palma,1
grassy,Palma,1
grateful,Palma,1
gravel,Palma,1
great,Palma,172
green,Palma,3
grim,Palma,1
grip,Palma,2
grocery,Palma,1
grose,Palma,1
ground,Palma,1
group,Palma,26
grubby,Palma,1
guarantee,Palma,1
guard,Palma,4
guardian,Palma,1
guess,Palma,8
guest,Palma,9
guide,Palma,4
guidebook,Palma,1
guitar,Palma,1
gulasch,Palma,1
guy,Palma,6
gypsy,Palma,1
ha,Palma,3
hair,Palma,5
hairpin,Palma,3
hairy,Palma,2
half,Palma,18
hall,Palma,2
hand,Palma,9
handbag,Palma,4
handle,Palma,1
handmade,Palma,1
happens,Palma,2
happy,Palma,7
harbor,Palma,1
harbour,Palma,7
hard,Palma,19
harder,Palma,1
hardy,Palma,1
harleys,Palma,2
harriet,Palma,1
harsh,Palma,1
hash,Palma,1
hassle,Palma,2
hat,Palma,7
hate,Palma,2
hawker,Palma,4
hazardous,Palma,2
head,Palma,9
headland,Palma,1
health,Palma,2
hear,Palma,1
heard,Palma,4
heart,Palma,2
heat,Palma,9
heaven,Palma,5
heavy,Palma,5
hectic,Palma,2
height,Palma,2
hell,Palma,3
hellish,Palma,1
hello,Palma,1
help,Palma,4
helpful,Palma,5
helpsdanixx,Palma,1
hen,Palma,10
hence,Palma,1
heritage,Palma,1
hesitation,Palma,1
hidden,Palma,7
high,Palma,33
highlight,Palma,1
highway,Palma,2
hike,Palma,20
hiker,Palma,4
hill,Palma,16
hillside,Palma,1
hippie,Palma,1
hippy,Palma,1
hir,Palma,1
hire,Palma,19
historic,Palma,1
hit,Palma,5
hoard,Palma,1
hodinky,Palma,1
hold,Palma,2
hole,Palma,1
holiday,Palma,39
holidayed,Palma,1
holidaymaker,Palma,2
holliday,Palma,1
holy,Palma,1
home,Palma,10
honest,Palma,2
hop,Palma,5
hope,Palma,9
horde,Palma,2
horizon,Palma,1
horrendous,Palma,1
horrible,Palma,5
horror,Palma,1
host,Palma,1
hostal,Palma,1
hot,Palma,22
hotel,Palma,98
hotspot,Palma,1
hour,Palma,45
house,Palma,8
housing,Palma,1
hover,Palma,1
hr,Palma,3
hreat,Palma,1
huge,Palma,23
human,Palma,3
humble,Palma,1
humour,Palma,1
hundred,Palma,3
hungry,Palma,2
hunt,Palma,2
hurry,Palma,1
hurt,Palma,1
husband,Palma,7
hustle,Palma,3
hut,Palma,2
iam,Palma,1
ibiza,Palma,1
ice,Palma,9
iced,Palma,1
idea,Palma,2
ideal,Palma,7
identical,Palma,2
idyllic,Palma,2
ie,Palma,2
ignore,Palma,2
ill,Palma,1
illegal,Palma,1
illetas,Palma,1
im,Palma,4
image,Palma,1
imagine,Palma,17
imitation,Palma,1
impaired,Palma,1
important,Palma,2
impossible,Palma,7
impress,Palma,1
impressed,Palma,5
impression,Palma,4
inch,Palma,5
incline,Palma,1
inclined,Palma,1
include,Palma,4
inclusive,Palma,5
incredible,Palma,2
india,Palma,1
indicates,Palma,1
indicator,Palma,1
individual,Palma,1
inevitable,Palma,1
inexpensive,Palma,1
infamous,Palma,1
influence,Palma,1
informal,Palma,1
information,Palma,1
infrastructure,Palma,1
infrequent,Palma,1
infront,Palma,1
inlet,Palma,3
innocence,Palma,1
insurance,Palma,1
intellectual,Palma,1
intend,Palma,2
intense,Palma,1
intent,Palma,1
interact,Palma,1
interested,Palma,2
interior,Palma,1
international,Palma,1
internet,Palma,1
interruption,Palma,1
intersection,Palma,1
intimacy,Palma,1
intimate,Palma,1
invasion,Palma,1
investment,Palma,1
ipads,Palma,1
iritations,Palma,1
irregular,Palma,1
irt,Palma,1
ish,Palma,3
island,Palma,37
isnt,Palma,3
isolated,Palma,2
issue,Palma,8
ist,Palma,1
italiens,Palma,1
item,Palma,4
ive,Palma,4
j,Palma,1
jade,Palma,1
jaisa,Palma,1
jam,Palma,3
january,Palma,5
je,Palma,5
jedna,Palma,1
jellyfish,Palma,8
jesolo,Palma,1
jet,Palma,2
jetski,Palma,1
jetty,Palma,2
jewellery,Palma,2
jim,Palma,1
joan,Palma,2
job,Palma,2
jog,Palma,2
jogging,Palma,1
joke,Palma,1
joking,Palma,1
jostle,Palma,1
journey,Palma,6
jovial,Palma,1
judge,Palma,1
juggler,Palma,1
juice,Palma,4
jul,Palma,1
july,Palma,7
jump,Palma,4
jumped,Palma,1
jumper,Palma,1
jumping,Palma,3
junction,Palma,2
june,Palma,8
justice,Palma,1
justified,Palma,1
kate,Palma,1
kebab,Palma,1
keen,Palma,2
keller,Palma,1
kept,Palma,16
kerb,Palma,2
key,Palma,2
kfc,Palma,2
kicker,Palma,1
kid,Palma,33
kill,Palma,1
kilometre,Palma,5
kind,Palma,15
kinda,Palma,2
king,Palma,5
kite,Palma,1
km,Palma,25
knee,Palma,2
knew,Palma,3
knickers,Palma,1
knock,Palma,1
know,Palma,1
kokomo,Palma,3
krsna,Palma,2
ktor,Palma,1
la,Palma,1
labyrinth,Palma,1
labyrinthine,Palma,1
lack,Palma,2
laden,Palma,1
lady,Palma,10
lager,Palma,1
lagoon,Palma,2
laid,Palma,2
land,Palma,7
landscape,Palma,2
landslip,Palma,1
lane,Palma,4
lanesarenal,Palma,1
langoustine,Palma,1
language,Palma,3
lap,Palma,2
large,Palma,25
last,Palma,15
late,Palma,1
lateral,Palma,1
law,Palma,1
lay,Palma,14
lazy,Palma,1
lead,Palma,4
leaf,Palma,5
leaflet,Palma,1
league,Palma,1
lean,Palma,1
learn,Palma,2
learnt,Palma,2
least,Palma,9
leather,Palma,1
lederhosen,Palma,2
left,Palma,31
leg,Palma,1
leisure,Palma,2
lemonade,Palma,1
len,Palma,1
length,Palma,6
lengthy,Palma,1
lesson,Palma,2
let,Palma,3
lethal,Palma,1
level,Palma,2
lie,Palma,10
life,Palma,15
lifegaurds,Palma,1
lifeguard,Palma,12
lifetime,Palma,1
lift,Palma,1
light,Palma,2
lightenuplorraine,Palma,1
lighthouse,Palma,2
like,Palma,1
likely,Palma,2
likey,Palma,1
lilac,Palma,1
lilo,Palma,1
limit,Palma,1
limited,Palma,8
line,Palma,13
linger,Palma,2
linguistic,Palma,1
link,Palma,2
liquour,Palma,1
list,Palma,2
lit,Palma,2
liter,Palma,1
litle,Palma,1
litre,Palma,2
litter,Palma,9
little,Palma,87
live,Palma,7
livelier,Palma,1
liveliness,Palma,1
living,Palma,1
llombards,Palma,5
llombartx,Palma,1
llorer,Palma,1
load,Palma,12
local,Palma,45
locate,Palma,1
location,Palma,23
lock,Palma,3
locker,Palma,1
lol,Palma,4
lombard,Palma,2
london,Palma,3
long,Palma,1
longer,Palma,5
loo,Palma,5
look,Palma,35
lookee,Palma,2
looky,Palma,10
loong,Palma,1
lorraine,Palma,2
lot,Palma,172
loto,Palma,1
loud,Palma,21
lounger,Palma,21
lout,Palma,1
love,Palma,26
lover,Palma,2
low,Palma,13
lua,Palma,1
luabay,Palma,1
luck,Palma,2
lucky,Palma,15
lunch,Palma,25
lunchtime,Palma,1
lure,Palma,1
mac,Palma,1
macdonalds,Palma,1
machine,Palma,1
madness,Palma,1
maga,Palma,1
magaluf,Palma,16
magaluv,Palma,1
magazine,Palma,1
magic,Palma,4
magical,Palma,2
magnet,Palma,1
magnificent,Palma,1
main,Palma,24
maina,Palma,1
mairvent,Palma,1
major,Palma,13
majorca,Palma,26
majorcia,Palma,1
majorcian,Palma,1
majority,Palma,5
maker,Palma,1
makeshift,Palma,1
malaysia,Palma,1
male,Palma,1
mallorcam,Palma,1
mallorcas,Palma,1
mallorquin,Palma,1
malorke,Palma,1
mamma,Palma,1
man,Palma,6
manage,Palma,3
manager,Palma,8
many,Palma,89
map,Palma,2
mapped,Palma,1
march,Palma,5
marina,Palma,13
marine,Palma,1
marivent,Palma,1
marked,Palma,3
marker,Palma,1
market,Palma,9
marking,Palma,1
marvel,Palma,1
mass,Palma,1
massage,Palma,20
massive,Palma,4
match,Palma,2
matter,Palma,1
mattress,Palma,1
maxi,Palma,1
maximum,Palma,1
mayhem,Palma,1
maylene,Palma,1
mayor,Palma,10
mcdonald,Palma,1
mcdonalds,Palma,2
meal,Palma,10
mean,Palma,13
meant,Palma,2
meat,Palma,2
mecca,Palma,1
meda,Palma,1
medieval,Palma,1
mediocre,Palma,1
meditation,Palma,1
mediterranean,Palma,1
medium,Palma,1
meeting,Palma,1
mega,Palma,7
megaluf,Palma,1
megapark,Palma,5
mellow,Palma,1
melon,Palma,1
member,Palma,1
memorable,Palma,1
memorise,Palma,1
memory,Palma,3
men,Palma,12
mental,Palma,1
menu,Palma,4
merchandise,Palma,1
merchant,Palma,1
meson,Palma,1
mess,Palma,3
met,Palma,2
meter,Palma,16
metre,Palma,7
mex,Palma,3
